,,,,,,,,Fail Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
VehicleMake,VehicleModel,YearOfBirth,Total,PASS,PASS %,FAIL,FAIL %,Vehicle and Safety Equipment,Vehicle and Safety Equipment %,Lighting and Electrical,Lighting and Electrical %,Steering and Suspension,Steering and Suspension %,Braking Equipment,Braking Equipment %,Wheels and Tyres,Wheels and Tyres %,"Engine, Noise and Exhaust","Engine, Noise and Exhaust %",Chassis and Body,Chassis and Body %,Side Slip Test,Side Slip Test %,Suspension Test,Suspension Test %,Light test,Light test %,Brake Test,Brake Test %,Emmissions,Emmissions %,OTHER,OTHER %,Incomplete Tests,Incomplete Tests %
ALFA ROMEO,145,1995,4,2,50,2,50,0,0,1,25,1,25,1,25,0,0,1,25,0,0,1,25,0,0,0,0,1,25,0,0,0,0,0,0
ALFA ROMEO,145,1996,2,0,0,2,100,0,0,0,0,2,100,0,0,0,0,0,0,0,0,1,50,1,50,0,0,1,50,0,0,0,0,0,0
ALFA ROMEO,145,1997,1,0,0,1,100,1,100,1,100,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,145,1998,7,3,42.9,4,57.1,0,0,2,28.6,1,14.3,0,0,1,14.3,0,0,2,28.6,1,14.3,0,0,0,0,1,14.3,0,0,0,0,0,0
ALFA ROMEO,145,1999,5,0,0,5,100,1,20,3,60,4,80,0,0,0,0,1,20,1,20,2,40,0,0,0,0,0,0,3,60,0,0,0,0
ALFA ROMEO,145,2000,4,1,25,3,75,1,25,1,25,2,50,1,25,1,25,1,25,1,25,2,50,1,25,0,0,1,25,2,50,0,0,0,0
ALFA ROMEO,146,1995,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,146,1997,3,2,66.7,1,33.3,0,0,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,146,1998,4,1,25,3,75,0,0,1,25,2,50,0,0,1,25,0,0,2,50,2,50,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,146,1999,9,0,0,9,100,1,11.1,5,55.6,1,11.1,2,22.2,1,11.1,0,0,1,11.1,1,11.1,0,0,0,0,2,22.2,3,33.3,0,0,0,0
